#ID	Report: Kraken2 on data 2744 and data 2743	Report: Kraken2 on data 2748 and data 2747	Report: Kraken2 on data 2754 and data 2753	Report: Kraken2 on data 2758 and data 2757
root	701	866	808	741
Variola_major_virus	1	0	0	0
Human_papillomavirus_type_3	1	0	0	0
Mouse_polyomavirus_(strain_3)	1	0	0	0
Hepatitis_B_virus_adw/991	0	1	0	0
Rous-associated_virus_type_1	1	0	0	0
Avian_sarcoma_virus_17	0	1	0	0
Cauliflower_mosaic_virus_(STRAIN_D4)	0	0	2	0
Venezuelan_equine_encephalitis_virus_(strain_TC-83)	0	0	1	0
Dengue_virus_1_Nauru/West_Pac/1974	0	0	0	1
Tobacco_mosaic_virus_strain_ER	0	0	1	0
Human_respiratory_syncytial_virus_(strain_RSB5857)	1	0	0	0
Influenza_A_virus_(A/shorebird/Delaware/207/98_(H5N8))	0	0	1	0
Influenza_B_virus_(B/Oregon/5/80)	0	0	0	1
Influenza_B_virus_(B/South_Australia/19/2005)	1	0	0	0
insertion_sequences	0	1	0	0
Pseudomonas_fluorescens_bv._C	0	0	1	2
Pseudomonas_syringae_pv._syringae	1	0	1	1
Pseudomonas_savastanoi_pv._glycinea	2	0	0	2
Pseudomonas_savastanoi_pv._phaseolicola	2	0	0	0
Pseudomonas_amygdali_pv._tabaci	3	1	0	1
Pseudomonas_syringae_pv._tomato	0	0	2	2
Salmonella_enterica_subsp._enterica_serovar_Gallinarum	1	0	1	0
Salmonella_enterica_subsp._enterica_serovar_Muenchen	1	0	0	1
Salmonella_enterica_subsp._enterica_serovar_Potsdam	1	0	0	1
Salmonella_enterica_subsp._enterica_serovar_Thompson	1	0	0	1
Salmonella_enterica_subsp._enterica_serovar_Gallinarum/pullorum	0	0	0	1
Salmonella_enterica_subsp._enterica_serovar_Abortus	0	1	0	0
Salmonella_enterica_subsp._enterica_serovar_Heidelberg	0	0	1	0
Salmonella_enterica_subsp._enterica_serovar_Ordonez	0	1	0	0
Xanthomonas_campestris_pv._campestris	2	0	1	3
Vibrio_cholerae_O1_biovar_El_Tor	0	0	0	1
Vibrio_alginolyticus_chemovar_iophagus	0	0	0	2
Haemophilus_influenzae_biotype_aegyptius	0	1	2	0
Agrobacterium_tumefaciens_(strain_apple_185)	3	0	1	1
Agrobacterium_tumefaciens_(strain_B2A)	0	2	0	1
Agrobacterium_tumefaciens_(strain_II_CHRYS)	1	0	0	0
Rhizobium_leguminosarum_bv._trifolii	1	0	0	3
Rhizobium_leguminosarum_bv._viciae	1	1	0	0
Neisseria_meningitidis_serogroup_B	0	0	0	1
Desulfovibrio_vulgaris_str._Hildenborough	0	1	0	1
Desulfovibrio_vulgaris_str._'Miyazaki_F'	1	0	0	0
Desulfovibrio_oxamicus_(strain_Monticello)	0	0	0	1
Bacillus_thuringiensis_serovar_thuringiensis	0	0	1	0
Bacillus_thuringiensis_serovar_san_diego	1	0	0	0
unclassified_Bacteria	0	1	0	0
Leptospira_interrogans_serovar_Hardjo	8	4	2	2
