#ID	Galaxy2667-__ob__Report__Kraken2_on_data_2608_and_data_2607__cb__.tabular	Galaxy2669-__ob__Report__Kraken2_on_data_2610_and_data_2609__cb__.tabular	Galaxy2671-__ob__Report__Kraken2_on_data_2612_and_data_2611__cb__.tabular	Galaxy2673-__ob__Report__Kraken2_on_data_2614_and_data_2613__cb__.tabular
root	757	929	841	760
Mink_enteritis_virus	0	0	0	1
Bovine_parvovirus	0	1	0	0
Human_papillomavirus_unidentified_type_(RTRX3)	0	0	1	0
Duck_hepatitis_B_virus_brown_Shanghai_duck/S5	1	0	0	0
Rous_sarcoma_virus_(strain_Schmidt-Ruppin)	0	0	0	1
Rasheed_rat_sarcoma_virus	1	0	0	0
Papaya_ringspot_virus_W	0	0	1	0
Bovine_coronavirus_strain_F15	1	0	0	0
Swine_vesicular_disease_virus_(STRAIN_UKG/27/72)	0	1	0	0
Foot-and-mouth_disease_virus_-_type_A	1	0	0	0
Newcastle_disease_virus_strain_Beaudette_C/45	0	0	1	0
Influenza_A_virus_(A/mallard/OH/73/89(H6))	0	0	0	1
Influenza_A_virus_(A/Hong_Kong/CUHK6210/2002(H3N2))	0	0	0	1
Pseudomonas_fluorescens_bv._C	1	0	0	0
Pseudomonas_syringae_pv._syringae	1	1	0	0
Pseudomonas_savastanoi_pv._glycinea	0	0	0	2
Pseudomonas_savastanoi_pv._phaseolicola	2	0	1	2
Pseudomonas_amygdali_pv._tabaci	0	0	1	0
Pseudomonas_syringae_pv._tomato	1	0	0	1
Azotobacter_chroococcum_(strain_mcd_1)	0	0	1	0
Salmonella_enterica_subsp._enterica_serovar_Gallinarum	0	0	1	0
Salmonella_enterica_subsp._enterica_serovar_Infantis	1	0	0	0
Salmonella_enterica_subsp._enterica_serovar_Potsdam	0	1	0	0
Salmonella_enterica_subsp._enterica_serovar_Thompson	0	0	0	1
Salmonella_enterica_subsp._enterica_serovar_Pullorum	0	1	0	1
Salmonella_enterica_subsp._enterica_serovar_Heidelberg	1	1	0	1
Salmonella_enterica_subsp._enterica_serovar_Ordonez	0	0	1	0
Xanthomonas_campestris_pv._campestris	0	1	0	1
Vibrio_cholerae_O1_biovar_El_Tor	1	0	1	0
Vibrio_alginolyticus_chemovar_iophagus	2	1	0	0
Haemophilus_influenzae_biotype_aegyptius	0	0	1	1
Agrobacterium_tumefaciens_(strain_apple_185)	0	2	1	3
Agrobacterium_tumefaciens_(strain_B2A)	0	1	0	0
Rhizobium_leguminosarum_bv._phaseoli	2	0	1	0
Rhizobium_leguminosarum_bv._trifolii	2	0	0	1
Rhizobium_leguminosarum_bv._viciae	0	0	0	1
Sinorhizobium_fredii_NGR234	0	1	1	0
Neisseria_meningitidis_serogroup_B	0	0	0	1
Desulfovibrio_vulgaris_str._Hildenborough	0	0	0	1
Desulfovibrio_vulgaris_str._'Miyazaki_F'	0	1	0	0
Desulfovibrio_oxamicus_(strain_Monticello)	1	0	0	0
Bacillus_thuringiensis_serovar_israelensis	1	0	0	0
Bacillus_thuringiensis_serovar_thuringiensis	0	0	1	0
Bacillus_thuringiensis_serovar_tenebrionis	0	0	1	0
Leptospira_interrogans_serovar_Hardjo	4	0	0	5
Symbiodinium_pilosum	0	0	0	1
Plasmodium_falciparum_CDC/Honduras	0	1	0	0
Bacteria_2	467	605	595	466
Archaea	1	0	0	0
Proteobacteria	0	0	1	0
Liliopsida	1	0	0	0
Gastropoda	1	0	1	0
Peracarida	0	0	1	0
Xenarthra	0	0	0	1
Stigonematales	0	1	0	0
Rhizobiales	1	0	0	2
Myxococcales	86	70	59	65
Planctomycetales	8	2	2	13
Spirochaetales	8	3	5	8
Mycoplasmatales	1	0	0	0
Palmariales	0	1	0	0
Bryales	0	0	0	1
Welwitschiales	1	0	0	0
Blastocladiales	0	0	0	1
Pelecaniformes	0	0	1	0
Myxiniformes	1	0	0	0
Haptorida	1	0	0	0
Peronosporales	0	0	0	1
Bicosoecida	0	0	0	1
Anasca	1	0	0	0
Phlebobranchia	0	1	0	0
Iguania	0	0	1	0
Gekkota	0	0	0	1
Chelonioidea	0	0	1	0
Geminiviridae	0	0	1	0
Microviridae	0	0	1	0
Moraxellaceae	0	0	1	0
Enterobacteriaceae	0	0	1	0
Legionellaceae	0	1	0	0
Methylococcaceae	0	0	1	1
Vibrionaceae	0	0	1	0
Pasteurellaceae	0	0	1	0
Bartonellaceae	1	0	0	0
Anaplasmataceae	0	1	1	0
Acetobacteraceae	1	1	1	1
Alcaligenaceae	0	1	0	0
Neisseriaceae	1	1	0	0
Myxococcaceae	52	49	39	39
Cystobacteraceae	43	34	30	39
Polyangiaceae	23	21	27	23
Bacteroidaceae	1	0	0	0
Micrococcaceae	1	0	0	0
Planctomycetaceae	5	0	4	5
Spirochaetaceae	5	0	0	5
Leptospiraceae	4	1	1	5
Thermoproteaceae	0	0	0	1
Halobacteriaceae	0	1	0	0
Hydrodictyaceae	0	0	0	1
Aizoaceae	0	0	0	1
Rosaceae	1	0	0	0
Brassicaceae	0	0	1	0
Cupressaceae	0	1	0	0
Polypodiaceae	0	1	0	0
Neolectaceae	0	0	1	0
Cushmanideidae	0	0	1	0
Psychodidae	0	0	0	1
Bombycidae	0	1	0	0
Onychiuridae	0	1	0	0
Rhinobatidae	0	0	1	0
Anomalopidae	0	0	1	0
Sirenidae	1	0	0	0
Balaenopteridae	0	0	1	0
Colpodidae	1	0	0	0
Ectocarpaceae	0	0	1	0
Azotobacter_group	0	0	1	0
Saniculoideae	0	0	1	0
Caesalpinioideae	1	0	0	0
Muromegalovirus	0	0	1	0
Aphthovirus	1	0	0	0
Nostoc	0	0	0	1
Calothrix	0	0	1	0
Fischerella	1	0	0	0
Prochloron	0	0	1	0
Prochlorothrix	0	0	1	0
Synechocystis	1	0	0	0
Spirulina_1154	0	1	0	0
Oscillatoria	0	0	1	0
Plectonema	0	1	0	0
Francisella	2	0	0	2
Thiomicrospira	0	0	1	0
Piscirickettsia	2	0	0	0
Acinetobacter	0	0	0	2
Moraxella_475	0	0	0	1
Cellvibrio	183	164	216	170
Pseudomonas	2	1	0	1
Azotobacter	0	1	0	1
Citrobacter	0	1	1	0
Erwinia	0	0	1	0
