#ID;S1;S2;S3;S4;S5;S6;S7;S8;S9;S10;S11;S12;S13;S14;S15;S16;S17;S18;S19;S20;S21;S22
d__Eukaryota|k__Metazoa|p__Chordata|c__Mammalia|o__Primates|f__Hominidae|g__Homo|s__Homo_sapiens;2133853;1289578;2552484;978592;16624;3065;196743;6527;531651;210906;2182794;1108197;2198753;873637;2686;3417;17638;3228;581293;230582;46745;221247
d__Bacteria_2|p__Actinobacteria_201174|c__Actinobacteria_1760|o__Propionibacteriales|f__Propionibacteriaceae|g__Propionibacterium|s__Propionibacterium_acnes;273032;894618;434634;1238550;15122;4149;76074;5070;134587;76387;324495;774232;366196;1119380;1529;3292;3412;2668;154923;104376;22938;197396
d__Bacteria_2|p__Proteobacteria|c__Gammaproteobacteria|o__Pseudomonadales|f__Pseudomonadaceae|g__Pseudomonas|s__Pseudomonas_sp._8H1;98065;59161;3882;3139;72;30;33;26;375;294;139178;62196;3989;2831;37;34;5;13;381;346;1125;1218
d__Bacteria_2|p__Actinobacteria_201174|c__Actinobacteria_1760|o__Corynebacteriales|f__Nocardiaceae|g__Rhodococcus|s__Rhodococcus_erythropolis;17931;38284;37782;25983;373;217;685;363;12564;7340;22928;34861;33432;24342;97;195;21;186;15606;10379;1451;811
d__Bacteria_2|p__Proteobacteria|c__Betaproteobacteria|o__Burkholderiales|f__Burkholderiaceae|g__Ralstonia|s__Ralstonia_insidiosa;11083;26740;20647;14394;177;48;17;21;5323;3565;14213;26396;19983;13004;40;35;12;34;7047;5040;15651;39610
d__Bacteria_2|p__Proteobacteria|c__Betaproteobacteria|o__Burkholderiales|f__Burkholderiaceae|g__Burkholderia|s__Burkholderia_contaminans;8431;21846;15580;9671;103;8;7;3;3931;2708;17162;21467;15154;9945;13;18;6;7;5794;4304;138;439
d__Bacteria_2|p__Proteobacteria|c__Alphaproteobacteria|o__Rhizobiales|f__Bradyrhizobiaceae|g__Bradyrhizobium|s__Bradyrhizobium_sp._BTAi1;7422;15855;11349;7830;92;3;10;9;2841;2012;9696;16882;10897;7844;6;18;5;5;4212;3248;3052;8265
d__Bacteria_2|p__Actinobacteria_201174|c__Actinobacteria_1760|o__Corynebacteriales|f__Corynebacteriaceae|g__Corynebacterium|s__Corynebacterium_segmentosum;1247;15004;10332;4805;169;114;5737;167;1818;681;1433;14199;9503;4734;64;130;259;117;2328;824;1;12
d__Bacteria_2|p__Proteobacteria|c__Gammaproteobacteria|o__Xanthomonadales|f__Xanthomonadaceae|g__Stenotrophomonas|s__Stenotrophomonas_maltophilia;3721;7346;308;48;6;4;8;2;80;95;3017;7548;303;70;2;10;2;3;144;120;726;2127
d__Bacteria_2|p__Actinobacteria_201174|c__Actinobacteria_1760|o__Corynebacteriales|f__Nocardiaceae|g__Rhodococcus|s__Rhodococcus_qingshengii;2867;5947;5815;4459;57;32;88;58;2043;1125;3797;5658;5410;4069;14;23;6;42;2532;1639;134;662
d__Bacteria_2|p__Actinobacteria_201174|c__Actinobacteria_1760|o__Propionibacteriales|f__Propionibacteriaceae|g__Propionibacterium|s__Propionibacterium_granulosum;1457;5773;2733;1977;118;96;702;95;851;503;1905;4564;2247;2494;36;61;26;57;1087;755;14;341
d__Bacteria_2|p__Proteobacteria|c__Alphaproteobacteria|o__Rhizobiales|f__Bradyrhizobiaceae|g__Bradyrhizobium|s__Bradyrhizobium_sp._CCBAU_53421;1905;4680;3441;2187;33;9;5;2;966;647;2523;4491;3341;2301;8;5;0;9;1290;1167;42205;17846
d__Bacteria_2|p__Actinobacteria_201174|c__Actinobacteria_1760|o__Corynebacteriales|f__Tsukamurellaceae|g__Tsukamurella|s__Tsukamurella_tyrosinosolvens;1526;3721;4140;2327;37;1;2;0;1239;770;2482;4219;4050;2536;1;5;1;1;2018;1559;0;0
d__Bacteria_2|p__Proteobacteria|c__Gammaproteobacteria|o__Pseudomonadales|f__Moraxellaceae|g__Moraxella_475|s__Moraxella_osloensis;1640;3917;6293;1674;39;15;225;15;1833;923;1639;3907;5047;1400;19;20;29;18;2273;978;34177;2083
