#ID;S1;S2;S3;S4
n__root|n__cellular_organisms|d__Archaea|p__Euryarchaeota|c__Methanomicrobia|o__Methanosarcinales|f__Methanosarcinaceae|g__Methanohalophilus|s__Methanohalophilus_portucalensis;1200748;770726;849803;976616
n__root|n__cellular_organisms|d__Archaea|p__Euryarchaeota|c__Methanomicrobia|o__Methanosarcinales|f__Methanosarcinaceae|g__Methanohalophilus;791622;520894;587244;677838
n__root|n__cellular_organisms|d__Archaea|p__Euryarchaeota|c__Methanomicrobia|o__Methanosarcinales|f__Methanosarcinaceae|g__Methanohalophilus|s__Methanohalophilus_halophilus;444205;283814;311997;359204
n__root|n__cellular_organisms|d__Bacteria_2|f__Deferribacteraceae|n__Flexistipes_sinusarabici_DSM_4947;333222;176931;242012;499869
n__root|n__cellular_organisms|d__Archaea|p__Euryarchaeota|c__Methanomicrobia|o__Methanosarcinales|f__Methanosarcinaceae|g__Methanohalophilus|n__Methanohalophilus_mahii_DSM_5219;290751;186360;203852;237187
n__root|n__cellular_organisms|d__Bacteria_2|p__Proteobacteria|c__Gammaproteobacteria|o__Alteromonadales|f__Alteromonadaceae|g__Marinobacter;282553;107311;184057;322565
n__root|n__cellular_organisms|d__Bacteria_2;258485;155989;217564;495518
n__root|n__cellular_organisms|d__Bacteria_2|p__Proteobacteria|c__Gammaproteobacteria;236056;113616;161471;336387
n__root|n__cellular_organisms|d__Bacteria_2|p__Proteobacteria;233385;141442;170260;423431
n__root|n__cellular_organisms|d__Archaea|p__Euryarchaeota|c__Methanomicrobia|o__Methanosarcinales|f__Methanosarcinaceae|s__Methanolobus_zinderi;186751;115893;104510;249292
n__root|n__cellular_organisms|d__Bacteria_2|p__Proteobacteria|c__Gammaproteobacteria|o__Alteromonadales|f__Alteromonadaceae|g__Marinobacter|n__unclassified_Marinobacter;75244;30433;41729;87571
n__root|n__cellular_organisms|d__Bacteria_2|p__Proteobacteria|n__delta/epsilon_subdivisions|c__Deltaproteobacteria|o__Desulfuromonadales|f__Geobacteraceae|s__Geoalkalibacter_subterraneus;60787;20356;38311;41117
n__root|n__cellular_organisms|d__Bacteria_2|p__Proteobacteria|c__Gammaproteobacteria|o__Pseudomonadales|f__Pseudomonadaceae|g__Pseudomonas;48995;22221;28702;50632
n__root|n__cellular_organisms|d__Bacteria_2|p__Proteobacteria|n__delta/epsilon_subdivisions|c__Deltaproteobacteria;46555;34221;30980;79223
n__root|n__cellular_organisms|d__Bacteria_2|p__Proteobacteria|n__delta/epsilon_subdivisions|c__Deltaproteobacteria|o__Desulfobacterales|f__Desulfobacteraceae|g__Desulfococcus|n__Desulfococcus_oleovorans_Hxd3;40294;47437;28198;132609
n__root|n__cellular_organisms|d__Bacteria_2|p__Proteobacteria|c__Gammaproteobacteria|o__Oceanospirillales|f__Halomonadaceae|g__Halomonas;28374;41077;19409;131125
n__root|n__cellular_organisms|d__Bacteria_2|p__Proteobacteria|c__Gammaproteobacteria|o__Alteromonadales|f__Alteromonadaceae|g__Marinobacter|s__Marinobacter_salarius;27505;11606;11019;26057
n__root|n__cellular_organisms|d__Bacteria_2|p__Proteobacteria|c__Gammaproteobacteria|o__Alteromonadales|f__Alteromonadaceae|g__Marinobacter|s__Marinobacter_hydrocarbonoclasticus|n__Marinobacter_hydrocarbonoclasticus_VT8;19966;10870;11018;27934
n__root|n__cellular_organisms|d__Archaea|p__Euryarchaeota|c__Methanomicrobia|o__Methanosarcinales|f__Methanosarcinaceae;18606;10682;12316;16535
n__root|n__cellular_organisms|d__Bacteria_2|p__Proteobacteria|n__delta/epsilon_subdivisions|c__Deltaproteobacteria|o__Syntrophobacterales|f__Syntrophobacteraceae|n__Desulfoglaeba_alkanexedens_ALDC;17538;18192;11550;46048
n__root|n__cellular_organisms|d__Bacteria_2|p__Firmicutes|c__Clostridia|o__Halanaerobiales|f__Halanaerobiaceae|g__Halanaerobium|n__Halanaerobium_praevalens_DSM_2228;15767;7193;11195;16641
n__root|n__cellular_organisms|d__Bacteria_2|p__Proteobacteria|c__Gammaproteobacteria|o__Enterobacteriales|f__Enterobacteriaceae;14839;9005;13566;15539
n__root|n__cellular_organisms|d__Bacteria_2|n__Bacteroidetes/Chlorobi_group|p__Bacteroidetes;14545;5473;12494;14453
n__root|n__cellular_organisms;14042;7780;13956;25003
n__root|n__cellular_organisms|d__Bacteria_2|p__Proteobacteria|c__Gammaproteobacteria|o__Chromatiales|g__Halothiobacillus|s__Halothiobacillus_halophilus;13737;18856;10173;57362
n__root|n__cellular_organisms|d__Bacteria_2|p__Proteobacteria|c__Gammaproteobacteria|o__Alteromonadales|f__Alteromonadaceae|g__Marinobacter|s__Marinobacter_hydrocarbonoclasticus;13686;7273;6879;20152
n__root|n__cellular_organisms|d__Bacteria_2|p__Proteobacteria|n__delta/epsilon_subdivisions|c__Deltaproteobacteria|o__Desulfovibrionales|f__Desulfovibrionaceae|g__Desulfovibrio|n__Desulfovibrio_alaskensis_G20;12885;7469;6954;13002
n__root|n__cellular_organisms|d__Bacteria_2|p__Proteobacteria|c__Gammaproteobacteria|o__Alteromonadales|f__Alteromonadaceae|g__Marinobacter|s__Marinobacter_similis;12715;5317;0;0
