номер файла	число ридов в sorted	число ридов в unmapped	сумма ридов	процент unmapped от суммы
1	17375236	6656065	24031301	27.69%
2	25174396	15809307	65015004	24.31%
3	23188612	10221493	98425109	10.38%
4	17799420	11494963	127719492	9.00%
5	14849591	8901573		151470656	5.87%
6	19525983	11987382	182984021	6.55%
7	17072695	10627069	210683785	5.04%
8	19110494	12412463	242206742	5.12%
9	22534835	12596641	277338218	4.54%
10	17099552	9823670		304261440	3.22%
11	19620963	8321881		332204284	2.50%
12	20827246	13287673	366319203	3.62%
13	19876560	8905749		395101512	2.25%
14	18484839	12069046	425655397	2.83%
15	13241215	7705430		446602042	1.72%
16	17541484	10336850	474480376	2.17%
17	3400809		2050240		479931425	.42%
18	17672777	11216309	508820511	2.20%
19	18769761	10690195	538280467	1.98%
20	19808096	11899669	569988232	2.08%
21	14379050	11806358	596173640	1.98%
22	14302336	10723606	621199582	1.72%
